	x	y	frame	particle
4	1236.3333333333333	886.6666666666666	76	44
10	794.0	77.5	77	49
9	769.6842105263158	89.73684210526316	77	51
7	778.5	296.09090909090907	77	39
8	755.5	91.0	77	37
6	650.2931034482758	765.7241379310345	77	13
1	1251.076923076923	906.0	77	54
4	1240.25	896.5833333333334	77	50
3	1249.0	901.0	77	43
2	1244.5	903.625	77	55
0	852.5	915.8	77	52
5	1236.5	888.5	77	44
9	769.45	89.95	78	51
8	755.5	91.0	78	37
7	778.7142857142857	296.1904761904762	78	39
6	651.4615384615385	768.75	78	13
5	1236.3333333333333	888.6666666666666	78	44
3	1249.0	901.0	78	43
2	1248.9166666666667	905.4583333333334	78	54
1	852.5	916.0	78	52
0	1371.5	932.0	78	15
10	793.6666666666666	77.33333333333333	78	49
4	1240.25	897.5	78	50
7	387.5	380.5	79	31
6	650.6279069767442	767.1627906976744	79	34
10	768.7142857142857	89.80952380952381	79	51
8	778.7142857142857	296.4761904761905	79	39
5	657.5	778.5	79	13
9	755.0	91.5	79	37
3	1239.75	897.125	79	50
2	1250.4545454545455	904.5909090909091	79	54
1	1245.6666666666667	904.3333333333334	79	55
0	852.0	916.0	79	52
4	1236.5	889.0	79	44
9	793.2	77.4	80	49
7	755.0	91.5	80	37
6	779.2352941176471	296.52941176470586	80	39
5	388.4166666666667	380.0	80	31
8	768.5	90.25	80	51
3	661.6666666666666	783.3333333333334	80	13
2	1236.3333333333333	888.6666666666666	80	44
1	1249.5	899.0	80	43
0	1251.857142857143	905.9285714285714	80	54
4	652.5471698113207	768.6603773584906	80	34
7	768.95	90.45	81	51
6	755.0	91.5	81	37
5	777.2222222222222	296.3333333333333	81	36
4	781.0	297.0	81	39
3	388.6666666666667	379.22222222222223	81	31
1	1242.0	895.2	81	50
0	1252.7272727272727	905.1818181818181	81	54
2	655.0	771.8928571428571	81	34
10	769.2105263157895	90.47368421052632	82	51
9	755.0	91.0	82	37
8	777.5	296.0	82	36
7	394.0	368.0	82	33
6	389.09090909090907	377.6363636363636	82	31
3	1250.0	898.0	82	43
4	655.9245283018868	772.9056603773585	82	13
2	1253.0	904.0	82	54
1	835.0	915.5	82	38
0	853.0	915.0	82	52
5	650.5	760.0	82	34
7	769.2	90.4	83	51
5	388.5833333333333	376.5	83	31
4	656.1355932203389	771.7966101694915	83	13
6	393.75	367.0	83	33
2	835.5	914.1666666666666	83	38
1	847.7777777777778	912.8888888888889	83	56
0	853.2	914.2	83	52
3	1252.8095238095239	902.2380952380952	83	54
0	849.5	913.0	84	56
1	835.4	913.8666666666667	84	38
